op,key,value,latency_ms,success
PUT,a,something,11,1
GET,a,something,4,1
GET,a,something,6,1
GET,a,something,11,1
GET,a,something,9,1
GET,a,something,9,1
GET,a,something,8,1
GET,a,something,6,1
GET,a,something,6,1
GET,a,something,7,1
GET,a,something,7,1
GET,a,something,9,1
GET,a,something,10,1
GET,a,something,9,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,5,1
GET,a,something,5,1
GET,a,something,4,1
GET,a,something,7,1
GET,a,something,10,1
GET,a,something,4,1
GET,a,something,7,1
GET,a,something,8,1
GET,a,something,7,1
GET,a,something,4,1
GET,a,something,7,1
GET,a,something,7,1
GET,a,something,10,1
GET,a,something,8,1
GET,a,something,5,1
GET,a,something,8,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,7,1
GET,a,something,9,1
GET,a,something,5,1
GET,a,something,6,1
GET,a,something,8,1
GET,a,something,10,1
GET,a,something,6,1
GET,a,something,8,1
GET,a,something,10,1
GET,a,something,10,1
GET,a,something,4,1
GET,a,something,5,1
GET,a,something,8,1
GET,a,something,9,1
GET,a,something,5,1
GET,a,something,6,1
GET,a,something,12,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,7,1
GET,a,something,5,1
GET,a,something,4,1
GET,a,something,6,1
GET,a,something,5,1
GET,a,something,10,1
GET,a,something,6,1
GET,a,something,6,1
GET,a,something,8,1
GET,a,something,8,1
GET,a,something,6,1
GET,a,something,6,1
GET,a,something,7,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,12,1
GET,a,something,7,1
GET,a,something,9,1
GET,a,something,10,1
GET,a,something,5,1
GET,a,something,10,1
GET,a,something,6,1
GET,a,something,12,1
GET,a,something,9,1
GET,a,something,9,1
GET,a,something,5,1
GET,a,something,5,1
GET,a,something,9,1
GET,a,something,5,1
GET,a,something,5,1
GET,a,something,8,1
GET,a,something,6,1
GET,a,something,5,1
GET,a,something,20,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,9,1
GET,a,something,8,1
GET,a,something,7,1
GET,a,something,10,1
GET,a,something,8,1
GET,a,something,6,1
GET,a,something,5,1
GET,a,something,5,1
GET,a,something,8,1
GET,a,something,6,1
GET,a,something,14,1
GET,a,something,4,1
GET,a,something,7,1
GET,a,something,5,1
GET,a,something,5,1
GET,a,something,3,1
GET,a,something,6,1
GET,a,something,18,1
GET,a,something,12,1
GET,a,something,8,1
GET,a,something,4,1
GET,a,something,14,1
GET,a,something,11,1
GET,a,something,6,1
GET,a,something,6,1
GET,a,something,9,1
GET,a,something,11,1
GET,a,something,14,1
GET,a,something,9,1
GET,a,something,7,1
GET,a,something,7,1
GET,a,something,16,1
GET,a,something,9,1
GET,a,something,9,1
GET,a,something,16,1
GET,a,something,7,1
GET,a,something,15,1
GET,a,something,7,1
GET,a,something,10,1
GET,a,something,9,1
GET,a,something,10,1
GET,a,something,4,1
GET,a,something,5,1
GET,a,something,9,1
GET,a,something,6,1
GET,a,something,7,1
GET,a,something,5,1
GET,a,something,7,1
GET,a,something,12,1
GET,a,something,3,1
GET,a,something,4,1
GET,a,something,4,1
GET,a,something,10,1
GET,a,something,9,1
GET,a,something,11,1
GET,a,something,6,1
GET,a,something,12,1
GET,a,something,10,1
GET,a,something,8,1
PUT,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,5,1
GET,a,surpise,8,1
GET,a,surpise,5,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,6,1
GET,a,surpise,9,1
GET,a,surpise,5,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,10,1
GET,a,surpise,8,1
GET,a,surpise,5,1
GET,a,surpise,13,1
GET,a,surpise,5,1
GET,a,surpise,8,1
GET,a,surpise,4,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,13,1
GET,a,surpise,8,1
GET,a,surpise,16,1
GET,a,surpise,5,1
GET,a,surpise,11,1
GET,a,surpise,13,1
GET,a,surpise,14,1
GET,a,surpise,6,1
GET,a,surpise,14,1
GET,a,surpise,11,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,11,1
GET,a,surpise,16,1
GET,a,surpise,10,1
GET,a,surpise,8,1
GET,a,surpise,9,1
GET,a,surpise,8,1
GET,a,surpise,18,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,15,1
GET,a,surpise,7,1
GET,a,surpise,14,1
GET,a,surpise,6,1
GET,a,surpise,16,1
GET,a,surpise,9,1
GET,a,surpise,9,1
GET,a,surpise,4,1
GET,a,surpise,8,1
GET,a,surpise,12,1
GET,a,surpise,5,1
GET,a,surpise,9,1
GET,a,surpise,11,1
GET,a,surpise,15,1
GET,a,surpise,6,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,10,1
GET,a,surpise,11,1
GET,a,surpise,7,1
GET,a,surpise,18,1
GET,a,surpise,11,1
GET,a,surpise,7,1
GET,a,surpise,3,1
GET,a,surpise,10,1
GET,a,surpise,20,1
GET,a,surpise,12,1
GET,a,surpise,18,1
GET,a,surpise,20,1
GET,a,surpise,17,1
GET,a,surpise,15,1
GET,a,surpise,32,1
GET,a,surpise,12,1
GET,a,surpise,12,1
GET,a,surpise,12,1
GET,a,surpise,10,1
GET,a,surpise,8,1
GET,a,surpise,16,1
GET,a,surpise,9,1
GET,a,surpise,13,1
GET,a,surpise,5,1
GET,a,surpise,4,1
GET,a,surpise,6,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,13,1
GET,a,surpise,9,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,6,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,5,1
GET,a,surpise,8,1
GET,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,9,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,9,1
GET,a,surpise,12,1
GET,a,surpise,7,1
GET,a,surpise,5,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,5,1
GET,a,surpise,4,1
GET,a,surpise,4,1
GET,a,surpise,7,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,12,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,12,1
GET,a,surpise,8,1
GET,a,surpise,8,1
GET,a,surpise,5,1
GET,a,surpise,4,1
GET,a,surpise,9,1
GET,a,surpise,4,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,12,1
GET,a,surpise,6,1
GET,a,surpise,8,1
GET,a,surpise,6,1
GET,a,surpise,10,1
GET,a,surpise,7,1
GET,a,surpise,5,1
GET,a,surpise,10,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,9,1
GET,a,surpise,7,1
GET,a,surpise,8,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,9,1
GET,a,surpise,7,1
GET,a,surpise,6,1
GET,a,surpise,10,1
GET,a,surpise,5,1
GET,a,surpise,7,1
GET,a,surpise,6,1
GET,a,surpise,7,1
GET,a,surpise,10,1
GET,a,surpise,7,1
GET,a,surpise,7,1
GET,a,surpise,9,1
GET,a,surpise,15,1
GET,a,surpise,5,1
GET,a,surpise,6,1
GET,a,surpise,10,1
GET,a,surpise,7,1
PUT,a,oops,7,1
GET,a,oops,7,1
GET,a,oops,9,1
GET,a,oops,7,1
GET,a,oops,12,1
GET,a,oops,8,1
GET,a,oops,6,1
GET,a,oops,7,1
GET,a,oops,9,1
GET,a,oops,5,1
GET,a,oops,5,1
GET,a,oops,12,1
GET,a,oops,4,1
GET,a,oops,4,1
GET,a,oops,12,1
GET,a,oops,6,1
GET,a,oops,5,1
GET,a,oops,11,1
GET,a,oops,8,1
GET,a,oops,9,1
GET,a,oops,8,1
GET,a,oops,5,1
GET,a,oops,7,1
GET,a,oops,8,1
GET,a,oops,6,1
GET,a,oops,10,1
GET,a,oops,7,1
GET,a,oops,5,1
GET,a,oops,7,1
GET,a,oops,10,1
GET,a,oops,8,1
GET,a,oops,7,1
GET,a,oops,9,1
GET,a,oops,7,1
GET,a,oops,9,1
GET,a,oops,9,1
GET,a,oops,5,1
GET,a,oops,8,1
GET,a,oops,6,1
GET,a,oops,7,1
GET,a,oops,9,1
GET,a,oops,8,1
GET,a,oops,6,1
GET,a,oops,6,1
GET,a,oops,10,1
GET,a,oops,8,1
GET,a,oops,9,1
GET,a,oops,5,1
GET,a,oops,7,1
GET,a,oops,10,1
GET,a,oops,7,1
GET,a,oops,6,1
GET,a,oops,4,1
GET,a,oops,13,1
GET,a,oops,6,1
GET,a,oops,4,1
GET,a,oops,6,1
GET,a,oops,11,1
GET,a,oops,7,1
GET,a,oops,8,1
GET,a,oops,6,1
